


.DATE		08 ? 92
.STYLE		CURSIVE
.WRITER_ID	hykim
	40 26
	40 22
	40 17
	40 14
	40 11
	39 7
	39 3
	39 0
	36 2
	35 5
	35 8
	37 11
	40 14
	43 18
	46 22
	49 24
	52 27
	55 28
	59 29
	60 26
	60 23
	57 22
	54 21
	51 21
	48 19
	44 18
	41 17
	38 16
	41 14
	44 14
	49 12
	52 10
	55 8
	58 6
	64 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 35
	25 38
	22 38
	21 35
	19 32
	19 29
	17 25
	15 20
	15 17
	15 12
	15 8
	16 5
	18 2
	21 0
	26 0
	31 3
	34 6
	36 10
	39 14
	39 17
	41 22
	41 26
	41 29
	40 33
	38 36
	35 37
	31 39
	28 39
	26 34
	26 31
	26 28
	30 25
	34 23
	37 23
	42 23
	45 23
	49 24
	53 24
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	43 61
	40 63
	37 63
	34 63
	31 63
	27 61
	23 60
	20 57
	16 55
	13 52
	10 49
	9 44
	9 41
	12 38
	15 38
	19 38
	22 40
	26 41
	30 43
	33 45
	34 48
	36 51
	37 55
	35 52
	34 49
	33 45
	32 42
	29 38
	26 33
	24 28
	24 25
	24 22
	24 19
	24 15
	25 9
	25 5
	27 2
	30 0
	33 1
	37 4
	39 7
	42 9
	44 13
	45 16
	45 19
	45 22
	44 25
	43 29
	41 34
	38 38
	36 42
	33 43
	30 43
	33 43
	36 42
	41 42
	44 42
	48 42
	51 42
	54 42
	58 42
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	14 4
	17 6
	20 7
	24 10
	29 13
	32 16
	35 20
	37 23
	38 26
	38 29
	39 32
	39 35
	39 38
	37 41
	40 36
	42 33
	44 29
	45 25
	48 21
	49 18
	50 14
	51 11
	51 8
	51 5
	51 2
	47 1
	44 0
	40 0
	37 1
	33 3
	30 6
	27 8
	25 11
	27 14
	30 13
	34 11
	37 10
	40 9
	43 8
	46 6
	50 5
	53 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	37 29
	38 25
	38 20
	38 17
	38 14
	38 10
	38 6
	39 3
	42 0
	46 0
	49 2
	51 5
	53 9
	54 15
	57 17
	57 20
	57 23
	58 26
	58 29
	60 23
	61 20
	61 17
	62 14
	64 11
	64 7
	67 5
	72 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	33 53
	32 56
	35 58
	39 61
	43 64
	46 67
	49 68
	52 68
	53 65
	53 61
	52 58
	51 54
	51 50
	51 46
	52 43
	54 40
	57 40
	60 42
	64 45
	67 48
	69 52
	70 55
	70 58
	70 61
	67 58
	67 55
	67 52
	67 48
	67 45
	67 41
	67 38
	66 33
	66 29
	66 26
	67 21
	68 16
	70 13
	72 9
	72 5
	72 1
	69 0
	66 0
	61 4
	58 5
	55 9
	52 13
	49 16
	48 19
	48 23
	48 26
	50 30
	54 34
	58 38
	61 41
	65 42
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	33 4
	35 7
	39 8
	42 10
	45 12
	48 14
	52 18
	53 21
	53 24
	53 27
	52 30
	50 33
	46 34
	42 33
	39 31
	36 28
	34 25
	33 21
	32 17
	32 14
	33 10
	34 7
	36 3
	40 0
	43 0
	46 0
	49 0
	52 0
.PEN_UP
.PEN_DOWN
	20 34
	25 37
	28 40
	34 44
	37 47
	40 50
	44 55
	47 60
	49 65
	51 70
	52 73
	52 76
	54 79
	54 82
	54 85
	54 90
	53 93
	50 95
	47 97
	44 98
	41 98
	39 95
	36 92
	34 89
	32 86
	31 83
	30 78
	28 73
	27 70
	26 66
	25 62
	24 58
	24 53
	22 49
	20 41
	19 36
	19 31
	18 27
	16 23
	16 20
	16 17
	16 13
	16 8
	18 2
	21 0
	24 0
	27 1
	30 4
	33 8
	35 12
	35 15
	36 19
	36 23
	36 26
	36 30
	35 34
	33 38
	30 41
	27 41
	23 40
	23 37
	28 37
	36 38
	39 39
	42 39
	49 39
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	13 11
	16 13
	19 16
	23 18
	26 20
	29 23
	31 26
	35 29
	36 33
	38 36
	40 40
	40 43
	41 47
	41 50
	42 54
	42 58
	42 61
	42 65
	42 69
	42 72
	39 73
	36 73
	35 70
	32 70
	31 67
	29 64
	29 61
	29 58
	29 54
	29 46
	27 42
	27 39
	26 33
	26 30
	26 26
	26 23
	26 20
	24 15
	24 12
	24 7
	24 3
	23 0
	20 4
	20 8
	20 12
	20 16
	22 20
	23 23
	25 26
	28 26
	32 27
	35 27
	38 26
	38 22
	38 18
	37 14
	36 10
	35 7
	34 4
	34 1
	37 1
	38 1
.PEN_UP
.PEN_DOWN
	38 3
	42 6
	47 11
	50 15
	53 19
	53 22
	55 26
	56 30
	56 33
	54 30
	52 24
	52 21
	52 18
	52 14
	52 11
	52 7
	54 3
	54 0
	57 1
	60 2
.PEN_UP
.PEN_DOWN
	50 44
	53 45
	56 45
	61 45
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	26 12
	30 13
	34 14
	38 18
	44 22
	47 24
	50 28
	50 31
	54 33
	55 36
	56 39
	57 43
	58 46
	59 49
	60 58
	60 62
	59 66
	57 70
	54 74
	51 77
	50 80
	47 78
	45 72
	42 67
	42 64
	41 60
	40 56
	39 52
	38 47
	37 42
	36 37
	36 33
	35 29
	35 20
	35 16
	36 13
	39 8
	40 5
	43 3
	46 1
	50 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	42 26
	38 27
	34 26
	30 25
	26 23
	23 19
	19 15
	18 12
	18 8
	18 5
	19 2
	22 1
	25 0
	31 1
	34 2
	38 4
	41 8
	41 11
	42 14
	42 18
	40 22
	38 26
	35 29
	32 32
	30 29
	32 26
	33 23
	36 21
	40 18
	44 16
	47 16
	51 16
	55 15
.PEN_UP
.PEN_DOWN
	29 60
	32 63
	36 65
	39 67
	42 70
	45 73
	42 69
	41 66
	40 63
	39 60
	38 55
	37 52
	35 46
	35 43
	34 40
	32 33
	32 29
	32 23
	31 20
	30 17
	30 13
	29 10
	29 6
	28 3
	28 0
	28 3
	28 6
	28 10
	28 14
	28 18
	29 22
	29 26
	31 31
	33 35
	33 38
	34 41
	37 44
	39 48
	41 52
	46 58
	49 61
	52 63
	54 67
	58 69
	62 69
	65 69
	66 66
	66 63
	65 59
	62 55
	60 52
	57 49
	54 49
	50 48
	44 47
	41 47
	35 47
	32 47
	31 48
.PEN_UP
.PEN_DOWN
	43 59
	43 62
	45 65
	42 67
	39 67
	36 67
	32 65
	28 64
	23 60
	20 56
	19 53
	18 49
	18 46
	21 44
	24 43
	28 44
	32 44
	36 47
	39 50
	41 54
	42 57
	42 60
	42 63
	42 60
	40 56
	39 53
	37 50
	36 45
	33 41
	32 38
	30 33
	28 30
	25 25
	23 21
	23 18
	22 15
	21 11
	21 8
	20 4
	20 0
	24 0
	27 3
	29 7
	32 12
	35 15
	36 20
	37 23
	37 26
	37 29
	36 32
	34 35
	37 35
	40 35
	43 35
	46 35
	51 35
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	16 19
	19 20
	22 17
	23 13
	24 10
	24 7
	25 4
	26 1
	30 0
	33 1
	36 3
	39 5
	41 8
	43 12
	43 15
	44 18
	45 15
	44 12
	44 9
	43 6
	43 3
	46 1
	48 4
	51 6
	53 9
	55 12
	55 15
	57 18
	59 21
	56 21
	56 18
	59 18
	62 18
	65 18
.PEN_UP
.PEN_DOWN
	21 27
	25 28
	28 28
	31 28
	33 25
	34 21
	34 18
	34 15
	34 12
	35 9
	38 8
	41 6
	46 7
	49 7
	53 9
	57 9
.PEN_UP
.PEN_DOWN
	49 37
	46 33
	44 29
	41 25
	39 20
	35 17
	31 14
	30 11
	29 8
	26 6
	25 3
	24 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 25
	25 22
	28 22
	31 23
	35 26
	40 28
	43 28
	48 32
	52 35
	55 39
	58 43
	59 47
	59 50
	59 53
	58 57
	58 60
	56 63
	56 66
	53 68
	50 70
	47 70
	44 67
	41 63
	40 59
	38 55
	36 50
	35 45
	34 41
	33 37
	32 34
	32 31
	31 28
	31 24
	30 21
	30 17
	30 11
	30 7
	32 3
	35 0
	39 0
	43 3
	44 6
	46 10
	47 13
	47 17
	47 21
	46 25
	43 27
	39 28
	36 27
	36 24
	40 23
	43 23
	46 23
	52 23
	55 24
	59 24
	66 26
	70 28
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	33 10
	37 11
	41 12
	45 14
	49 14
	53 16
	57 20
	58 23
	58 26
	56 29
	53 29
	50 30
	46 29
	42 28
	39 25
	37 22
	36 18
	34 14
	34 11
	34 7
	35 4
	39 1
	44 0
	49 0
	52 0
	55 1
	58 1
.PEN_UP
.PEN_DOWN
	5 38
	8 39
	12 41
	16 44
	21 46
	24 48
	28 51
	31 53
	35 57
	38 60
	42 64
	45 68
	49 72
	50 76
	53 78
	54 81
	57 85
	57 89
	57 93
	55 96
	52 99
	49 97
	47 93
	44 91
	43 88
	40 85
	39 82
	39 79
	37 76
	35 73
	31 66
	29 62
	27 58
	26 54
	23 50
	21 47
	19 42
	17 39
	15 35
	12 31
	11 27
	9 19
	8 14
	8 9
	8 6
	9 2
	13 0
	17 2
	19 5
	23 10
	25 13
	27 16
	30 18
	30 21
	29 24
	27 27
	27 30
	26 34
	25 37
	24 41
	27 39
	30 39
	35 39
	40 40
	43 40
	52 41
.PEN_UP
.PEN_DOWN
	64 69
	64 72
	62 75
	57 76
	54 76
	52 73
	50 70
	49 67
	49 64
	50 61
	53 60
	57 61
	62 65
	62 68
	63 71
	63 74
	64 70
	66 67
	67 63
	68 59
	69 55
	69 52
	70 48
	70 45
	72 38
	72 35
	73 30
	73 27
	74 23
	74 20
	74 17
	74 13
	74 10
	74 5
	74 2
	71 0
	68 2
	65 5
	62 8
	58 12
	55 16
	52 19
	49 22
	49 25
	48 28
	47 31
	47 34
	47 37
	48 40
	51 44
	52 49
	56 51
	58 54
	61 58
	65 60
	68 61
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	32 5
	36 8
	36 13
	39 15
	39 18
	40 21
	40 24
	40 27
	38 23
	38 19
	37 16
	37 13
	38 9
	38 6
	40 2
	43 0
	47 0
	50 1
.PEN_UP
.PEN_DOWN
	40 45
	47 43
.PEN_UP
.PEN_DOWN
	33 41
	36 43
	39 44
	40 47
	43 48
	44 54
	45 58
	42 60
	40 57
	40 54
	40 51
	40 48
	40 45
	40 40
	40 36
	41 33
	41 29
	41 23
	41 20
	42 17
	42 14
	42 10
	42 6
	40 3
	39 0
	36 0
	32 0
	28 2
	25 6
	24 7
.PEN_UP
.PEN_DOWN
	32 74
	35 73
	38 71
.PEN_UP
.PEN_DOWN
	15 29
	19 30
	22 31
	26 32
	31 33
	35 34
	39 35
	45 38
	48 41
	51 44
	53 48
	55 53
	57 56
	58 60
	58 64
	58 68
	58 71
	58 74
	56 77
	55 80
	52 82
	49 83
	48 80
	46 76
	45 73
	45 70
	43 66
	41 61
	40 58
	40 54
	37 51
	36 48
	36 44
	34 40
	32 37
	32 33
	31 25
	30 22
	30 17
	30 14
	29 11
	29 6
	29 3
	28 0
	25 1
	22 6
	20 9
	20 12
	20 16
	22 19
	25 22
	28 23
	31 25
	34 27
	38 28
	42 29
	45 29
	48 27
	51 25
	52 21
	49 19
	46 18
	43 18
	40 18
	35 17
	32 17
	28 17
	25 16
	24 13
	28 11
	31 10
	34 9
	37 9
	40 8
	43 8
	46 7
	50 6
	52 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	10 21
	10 25
	11 28
	16 34
	17 37
	21 41
	25 43
	28 43
	31 43
	33 40
	33 37
	33 34
	33 31
	29 24
	27 20
	25 16
	24 13
	22 9
	22 4
	25 5
	30 11
	33 15
	37 19
	40 23
	44 26
	47 28
	50 28
	52 24
	52 20
	52 17
	51 14
	51 9
	51 6
	51 3
	54 1
	59 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	24 56
	24 59
	27 62
	31 65
	33 68
	34 71
	37 75
	40 79
	42 82
	42 85
	42 82
	42 79
	41 75
	40 70
	40 67
	39 64
	38 61
	36 55
	36 52
	35 45
	35 40
	34 36
	34 32
	34 28
	34 25
	34 21
	34 18
	35 15
	35 12
	36 7
	36 3
	37 0
	35 3
	34 7
	33 10
	33 13
	32 17
	32 20
	32 24
	32 28
	32 33
	33 41
	34 44
	35 47
	36 50
	37 56
	40 59
	41 62
	43 65
	46 66
	49 71
	52 73
	56 74
	60 75
	63 72
	63 69
	63 65
	61 62
	58 59
	55 56
	51 54
	48 54
	45 51
	41 50
	38 48
	38 46
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	23 8
	27 11
	29 14
	31 17
	31 20
	31 23
	31 27
	31 30
	35 30
	38 30
	41 29
	45 29
	50 29
	53 29
	56 29
	56 26
	53 25
	52 21
	49 19
	47 14
	44 11
	44 8
	44 4
	46 1
	49 0
	52 0
	55 0
	61 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 0
	31 3
	36 7
	41 11
	46 17
	50 21
	50 24
	52 28
	53 31
	54 34
	54 38
	54 41
	54 45
	55 49
	55 52
	55 55
	54 51
	53 48
	52 44
	52 41
	50 37
	49 34
	49 31
	49 28
	48 23
	48 19
	48 16
	48 12
	48 9
	50 4
	50 1
	53 0
	54 0
.PEN_UP
.PEN_DOWN
	30 25
	35 25
	39 27
	43 28
	49 28
	52 29
	55 30
	58 30
	61 30
	67 30
.PEN_UP
.PEN_DOWN
	37 28
	37 25
	37 21
	34 17
	32 13
	31 10
	30 7
	30 4
	30 1
	33 0
	36 0
	39 1
	42 2
	44 5
	49 8
	52 12
	52 15
	54 20
	58 24
	59 28
	60 31
	60 34
	57 31
	56 28
	56 25
	55 21
	55 17
	55 14
	56 11
	61 9
	63 7
.PEN_UP
.PEN_DOWN
	11 18
	13 21
	17 23
	21 26
	25 25
	26 22
	26 19
	26 16
	26 13
	26 10
	26 6
	25 3
	26 0
	30 0
	33 1
	35 4
	38 9
	39 12
	40 15
	41 18
	43 15
	47 15
	50 16
	53 17
	57 18
	61 23
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	20 22
	24 23
	28 26
	32 29
	35 30
	38 32
	44 36
	48 40
	50 45
	53 47
	57 51
	59 55
	59 59
	59 63
	59 66
	59 72
	59 75
	56 79
	47 75
	46 71
	43 67
	42 64
	41 61
	38 56
	37 53
	36 50
	33 45
	32 41
	31 37
	29 29
	28 26
	27 22
	26 18
	25 15
	25 10
	25 5
	25 1
	28 0
	31 0
	32 3
	35 6
	36 10
	38 14
	38 18
	38 22
	37 25
	34 25
	31 25
	28 24
	28 21
	31 20
	36 20
	40 20
	46 22
	50 24
	54 25
	57 26
	62 26
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	19 41
	22 42
	25 42
	29 45
	32 46
	35 47
	39 49
	42 51
	46 55
	49 57
	51 60
	51 64
	54 66
	56 70
	56 75
	57 80
	57 84
	57 87
	57 93
	56 97
	54 101
	53 104
	49 105
	45 103
	44 100
	42 96
	40 93
	37 86
	35 80
	33 74
	32 70
	31 67
	30 63
	29 59
	28 55
	26 51
	24 42
	24 38
	22 34
	21 30
	21 26
	21 22
	20 18
	20 15
	20 11
	20 6
	22 1
	26 0
	29 3
	29 7
	30 10
	32 14
	33 18
	34 21
	34 24
	32 29
	29 32
	27 35
	24 38
	21 41
	24 43
	28 43
	33 44
	39 44
	42 44
	45 44
	48 44
	51 45
	54 45
	56 46
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	20 0
	23 2
	26 4
	28 7
	31 10
	32 14
	34 17
	35 20
	35 23
	36 26
	33 23
	33 19
	32 16
	32 13
	32 10
	32 7
	33 4
	36 2
	39 2
	42 3
	45 4
.PEN_UP
.PEN_DOWN
	31 45
	35 44
	39 44
	42 42
.PEN_UP
.PEN_DOWN
	28 36
	30 39
	33 41
	35 44
	38 47
	40 50
	43 54
	44 57
	44 60
	41 58
	38 54
	36 50
	35 47
	35 43
	35 39
	35 36
	35 33
	35 30
	35 24
	35 21
	35 18
	36 15
	36 12
	36 9
	36 6
	35 3
	32 0
	28 0
	25 0
	22 1
	19 4
	17 8
.PEN_UP
.PEN_DOWN
	33 84
	37 84
	40 84
	45 82
	50 81
	52 82
.PEN_UP
.PEN_DOWN
	13 19
	17 20
	21 20
	24 23
	27 24
	31 26
	33 29
	37 31
	40 35
	45 39
	46 45
	49 49
	50 52
	54 58
	54 62
	54 65
	54 68
	54 72
	53 75
	52 78
	49 83
	46 84
	39 80
	39 76
	37 72
	36 67
	34 64
	34 61
	33 56
	32 53
	30 49
	30 43
	28 39
	28 36
	27 33
	26 30
	25 26
	25 23
	24 20
	24 16
	24 13
	24 10
	24 7
	21 4
	21 1
	18 0
	16 3
	16 7
	17 12
	19 16
	20 20
	20 23
	22 26
	24 30
	27 32
	31 34
	36 36
	40 36
	45 36
	48 36
	52 36
	53 33
	53 30
	52 27
	49 24
	46 22
	43 20
	40 20
	37 18
	32 18
	27 18
	30 15
	33 14
	37 13
	41 12
	44 11
	45 10
.PEN_UP
.PEN_DOWN
	37 3
	39 6
	40 9
	43 11
	46 13
	49 16
	51 19
	54 22
	55 25
	55 28
	58 31
	59 34
	60 37
	61 44
	63 47
	63 51
	64 56
	64 61
	64 64
	64 70
	64 73
	61 75
	58 71
	55 68
	54 65
	54 62
	52 59
	51 56
	50 52
	48 48
	47 44
	47 40
	46 30
	46 26
	46 23
	46 19
	46 16
	46 13
	48 9
	50 6
	54 3
	58 0
.PEN_UP
.PEN_DOWN
	27 12
	24 12
	22 15
	22 18
	25 21
	27 24
	30 28
	33 32
	37 36
	40 36
	43 36
	46 34
	46 31
	46 28
	45 24
	43 21
	43 17
	40 14
	38 11
	36 7
	37 10
	39 13
	42 16
	43 22
	48 25
	50 28
	53 28
	55 24
	55 21
	54 18
	52 14
	49 11
	46 6
	43 3
	46 7
	47 10
	49 13
	53 18
	56 22
	62 26
	65 27
	68 24
	68 21
	68 16
	67 12
	66 8
	66 5
	66 1
	69 0
	72 0
	77 0
.PEN_UP
.PEN_DOWN
	8 12
	9 15
	12 18
	13 22
	17 25
	21 29
	24 31
	28 32
	31 28
	31 25
	30 22
	29 19
	27 15
	26 12
	23 7
	21 3
	21 0
	21 3
	21 6
	22 10
	26 14
	29 18
	32 20
	35 22
	38 22
	39 19
	39 16
	38 13
	38 10
	38 5
	40 2
	43 2
	46 3
	49 4
	56 7
	60 9
	61 10
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	37 71
	34 70
	34 64
	34 61
	32 56
	31 53
	31 50
	30 46
	29 43
	28 39
	27 35
	27 31
	24 24
	24 21
	23 16
	22 12
	22 9
	21 6
	20 3
	19 0
	19 4
	19 8
	21 12
	21 17
	21 21
	21 24
	22 27
	23 34
	23 37
	24 41
	25 44
	26 49
	28 54
	31 57
	34 59
	37 62
	42 64
	45 64
	49 64
	52 64
	55 64
	56 61
	56 58
	54 55
	49 52
	44 48
	40 47
	37 46
	31 44
	27 43
	24 43
	23 43
.PEN_UP
.PEN_DOWN
	49 56
	45 57
	42 56
	38 54
	35 51
	32 49
	29 45
	26 43
	25 39
	25 35
	29 33
	32 34
	36 34
	40 36
	43 38
	45 41
	45 44
	45 47
	44 44
	43 41
	42 38
	40 34
	38 30
	37 27
	36 24
	35 21
	34 17
	33 13
	33 10
	33 5
	35 2
	38 0
	41 0
	45 0
	49 3
	50 6
	51 11
	51 15
	51 18
	51 22
	49 25
	49 28
	45 31
	49 33
	54 33
	59 33
	62 33
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	47 29
	45 26
	44 22
	43 16
	43 12
	43 9
	43 6
	43 3
	46 1
	49 0
	51 3
	54 6
	55 9
	57 13
	59 17
	59 20
	61 23
	61 26
	63 23
	64 19
	64 16
	65 13
	67 9
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	26 28
	31 29
	36 29
	41 31
	44 31
	47 32
	46 29
	42 25
	39 22
	34 18
	30 15
	27 13
	26 10
	23 8
	19 5
	19 2
	22 0
	27 0
	33 1
	40 4
	46 5
	49 6
	54 7
	58 9
	64 9
.PEN_UP
.PEN_DOWN
	54 22
	54 25
	52 28
	49 31
	46 31
	42 31
	39 29
	36 28
	33 24
	31 21
	28 16
	28 12
	28 7
	28 4
	29 1
	32 0
	35 0
	39 2
	43 4
	44 7
	47 10
	50 13
	51 16
	51 19
	53 16
	55 13
	58 11
	61 11
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	51 29
	50 32
	47 34
	43 34
	38 30
	36 27
	35 24
	32 20
	30 15
	29 11
	29 7
	32 3
	36 2
	41 0
	45 0
	48 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	24 12
	29 12
	36 13
	39 15
	42 15
	45 15
	47 18
	50 21
	50 24
	49 28
	46 30
	43 31
	40 31
	35 30
	31 27
	27 25
	24 24
	23 21
	23 18
	22 15
	22 11
	23 8
	25 5
	29 3
	33 2
	38 0
	41 0
	48 0
.PEN_UP
.PEN_DOWN
	35 48
	38 49
	41 50
	44 52
	48 54
	51 57
	54 59
	56 63
	58 66
	60 71
	62 75
	62 80
	63 84
	63 89
	63 93
	63 97
	61 100
	57 101
	54 98
	54 95
	50 91
	49 87
	46 84
	43 76
	40 72
	38 69
	36 66
	34 62
	33 58
	30 53
	29 49
	26 46
	26 42
	24 38
	23 35
	21 26
	21 22
	21 19
	21 16
	21 13
	22 9
	23 5
	26 2
	29 0
	32 0
	35 1
	38 1
	41 5
	43 8
	46 12
	47 17
	49 20
	49 24
	49 28
	49 32
	46 35
	42 39
	39 39
	36 39
	40 38
	44 38
	48 38
	53 39
	56 39
	62 39
	67 39
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	7 16
	10 17
	14 19
	17 20
	21 21
	25 23
	29 27
	34 30
	37 36
	39 39
	41 44
	43 50
	44 53
	46 58
	48 62
	49 67
	50 72
	50 75
	50 78
	50 82
	48 85
	45 87
	44 84
	42 81
	40 77
	38 74
	37 71
	35 66
	35 63
	31 55
	30 52
	29 47
	27 43
	26 40
	25 37
	24 33
	23 30
	21 27
	21 23
	21 20
	19 15
	17 10
	15 6
	14 3
	13 0
	12 3
	12 7
	12 11
	13 14
	13 17
	13 20
	15 23
	18 25
	21 27
	24 28
	28 29
	31 29
	34 30
	37 30
	38 27
	36 23
	34 19
	31 15
	30 11
	28 7
	28 4
	30 1
	34 0
	39 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	17 18
	20 19
	23 21
	26 22
	29 25
	34 28
	38 29
	41 33
	44 35
	45 39
	47 42
	47 45
	48 48
	48 53
	48 58
	48 62
	48 66
	47 70
	45 73
	44 76
	41 78
	38 79
	36 76
	35 72
	34 68
	34 64
	33 59
	33 56
	33 52
	32 48
	32 45
	32 42
	32 38
	32 35
	32 32
	32 29
	32 22
	32 17
	32 14
	33 10
	33 7
	33 3
	33 0
	31 3
	29 6
	29 9
	29 12
	29 16
	30 19
	32 22
	34 25
	36 28
	39 29
	42 31
	45 32
	48 32
	51 30
	52 27
	53 24
	50 21
	47 20
	43 19
	39 18
	36 18
	36 15
	39 13
	42 12
	45 9
	48 8
	51 7
	52 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	22 8
	22 12
	24 15
	25 19
	27 22
	27 26
	30 29
	32 32
	35 34
	38 36
	41 36
	42 32
	42 28
	42 23
	41 19
	40 16
	39 13
	38 9
	37 6
	39 10
	40 13
	42 16
	45 20
	46 23
	49 26
	52 27
	55 25
	55 22
	55 18
	55 15
	55 12
	55 9
	54 6
	53 3
	50 0
	51 6
	51 9
	52 13
	54 16
	55 20
	57 23
	59 26
	62 28
	65 26
	67 22
	67 19
	67 15
	67 12
	67 8
	66 5
	66 2
	70 1
	73 1
	76 1
.PEN_UP
.PEN_DOWN
	24 17
	23 20
	23 23
	26 26
	27 29
	30 31
	33 34
	36 36
	40 37
	43 37
	46 37
	46 34
	46 31
	45 28
	45 24
	44 21
	42 18
	41 15
	40 12
	39 9
	40 12
	41 15
	43 19
	46 22
	50 25
	53 26
	56 26
	57 23
	58 18
	58 15
	58 12
	58 8
	58 5
	59 2
	62 0
	67 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	11 55
	14 57
	18 58
	21 60
	25 62
	29 66
	30 69
	30 72
	30 75
	27 72
	25 68
	25 64
	24 61
	24 58
	24 55
	23 52
	23 45
	23 42
	23 37
	23 32
	23 28
	22 25
	22 22
	21 18
	21 13
	21 10
	19 6
	19 3
	19 0
	19 3
	19 6
	18 9
	18 13
	17 18
	17 23
	17 27
	17 30
	17 35
	17 38
	18 43
	18 47
	20 50
	21 53
	25 56
	28 59
	31 61
	34 62
	39 63
	43 65
	46 65
	51 65
	54 63
	54 60
	50 57
	47 54
	43 52
	39 49
	36 47
	30 44
	27 43
	26 43
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	17 3
	17 0
	20 0
	23 4
	24 7
	25 10
	25 13
	25 16
	26 20
	27 23
	28 26
	31 23
	34 22
	37 22
	40 22
	43 22
	42 19
	40 16
	40 13
	40 10
	40 5
	43 2
	46 2
	49 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	37 27
	39 24
	40 20
	40 17
	40 14
	41 11
