


.DATE		08 ? 92
.STYLE		PRINTED
.WRITER_ID	jjlee
.PEN_DOWN
	32 78
	32 73
	31 68
	31 65
	31 62
	31 55
	31 52
	31 47
	31 43
	31 39
	31 35
	32 32
	32 28
	32 25
	32 22
	32 19
	32 16
	33 10
	33 6
	33 3
	33 0
	32 1
.PEN_UP
.PEN_DOWN
	68 79
	64 78
	62 75
	58 71
	54 66
	52 63
	47 56
	45 52
	42 48
	40 45
	38 41
	36 37
	33 33
	32 30
	30 27
	31 26
.PEN_UP
.PEN_DOWN
	49 45
	50 41
	52 38
	54 34
	55 31
	59 27
	61 24
	64 21
	67 17
	70 15
	71 12
	72 9
	72 10
.PEN_UP
.PEN_DOWN
	26 75
	25 70
	25 63
	24 59
	24 55
	24 50
	24 45
	24 40
	24 36
	24 32
	24 29
	25 25
	25 22
	25 15
	25 12
	24 9
	24 6
	23 3
	23 0
	26 1
	30 2
	34 3
	39 3
	43 3
	46 3
	50 2
	53 1
	56 1
	59 1
	61 0
.PEN_UP
.PEN_DOWN
	25 78
	25 74
	24 70
	24 67
	24 63
	24 59
	24 55
	24 50
	24 45
	24 37
	24 33
	24 29
	24 25
	24 22
	24 19
	24 14
	24 11
	24 7
	24 3
	24 0
.PEN_UP
.PEN_DOWN
	26 78
	28 74
	30 70
	33 66
	33 63
	36 58
	38 53
	40 48
	42 45
	43 42
	45 39
	48 40
	51 42
	53 46
	55 50
	57 53
	58 57
	60 60
	62 66
	65 70
	66 73
	68 76
	69 79
	68 76
	68 73
	67 69
	67 66
	67 63
	66 57
	65 54
	65 50
	65 47
	64 43
	64 37
	64 32
	64 29
	64 25
	65 21
	65 17
	65 12
	65 9
	66 6
.PEN_UP
.PEN_DOWN
	29 74
	27 68
	27 65
	27 61
	27 57
	27 52
	27 47
	27 43
	27 38
	27 34
	28 30
	28 27
	28 24
	28 18
	28 15
	28 10
	27 6
	26 3
	27 0
	27 1
.PEN_UP
.PEN_DOWN
	29 74
	30 70
	32 65
	34 61
	37 54
	39 50
	41 46
	43 42
	45 38
	47 35
	50 32
	51 29
	53 26
	55 23
	57 20
	59 15
	62 11
	63 8
	65 5
	68 5
	69 8
	70 11
	70 14
	71 18
	71 21
	72 26
	73 33
	73 37
	73 41
	73 45
	73 49
	73 53
	73 56
	73 59
	73 63
	73 68
	73 71
	74 74
.PEN_UP
.PEN_DOWN
	47 78
	44 80
	40 79
	36 76
	32 73
	28 68
	25 63
	23 59
	21 52
	20 47
	19 43
	18 39
	18 36
	18 32
	18 29
	18 25
	18 22
	18 19
	19 16
	21 10
	23 6
	26 2
	29 0
	32 0
	36 0
	39 1
	42 3
	46 5
	49 9
	52 12
	54 16
	57 21
	58 24
	59 27
	61 30
	62 34
	63 37
	64 40
	66 47
	66 50
	66 53
	65 58
	64 61
	63 64
	61 69
	59 74
	57 79
	54 82
	50 83
	47 81
	44 78
.PEN_UP
.PEN_DOWN
	27 86
	27 83
	27 80
	27 76
	27 72
	27 67
	27 62
	27 57
	27 53
	27 44
	27 40
	27 36
	27 33
	27 29
	28 24
	28 19
	28 15
	27 9
	27 6
	27 3
	27 0
	28 2
.PEN_UP
.PEN_DOWN
	23 83
	26 85
	29 85
	33 85
	37 85
	42 83
	46 82
	50 80
	54 77
	57 74
	60 70
	64 66
	66 63
	67 60
	68 57
	68 54
	66 50
	63 47
	59 45
	55 43
	49 41
	46 40
	43 40
	40 39
	36 39
	33 39
	32 40
.PEN_UP
.PEN_DOWN
	45 84
	42 85
	39 83
	36 80
	34 77
	31 73
	29 68
	27 65
	26 62
	24 56
	23 53
	22 50
	22 47
	21 43
	21 40
	21 33
	21 30
	22 27
	22 23
	24 18
	26 14
	28 10
	32 5
	35 3
	38 1
	42 0
	45 0
	49 0
	53 2
	56 3
	59 6
	62 10
	64 13
	66 18
	67 23
	68 27
	69 30
	70 35
	71 38
	72 41
	72 46
	72 53
	71 56
	70 61
	70 64
	69 68
	68 71
	68 74
	66 78
	63 83
	60 86
	57 87
	53 87
	50 87
	46 85
	44 82
.PEN_UP
.PEN_DOWN
	46 31
	49 26
	51 23
	55 18
	59 13
	63 9
	67 6
	70 2
	73 0
	73 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 65
	27 61
	26 56
	26 51
	26 48
	25 43
	25 38
	25 35
	24 30
	24 27
	24 23
	24 20
	25 16
	26 11
	27 8
	28 5
	31 2
	34 1
	37 0
	40 0
	43 0
	46 1
	50 2
	53 3
	56 4
	59 6
	61 9
	64 13
	66 16
	66 20
	68 27
	68 30
	68 35
	68 40
	69 45
	69 50
	69 54
	69 59
	69 62
	69 65
	69 68
	67 65
	67 63
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	19 72
	19 68
	19 64
	19 60
	19 57
	19 54
	20 50
	20 46
	20 42
	20 39
	20 35
	21 31
	21 28
	21 24
	21 17
	21 14
	22 10
	23 6
	23 3
	25 0
	28 2
	29 5
	31 8
	31 11
	33 16
	34 20
	35 23
	36 27
	37 31
	38 34
	39 37
	40 41
	41 45
	41 50
	42 53
	42 50
	43 46
	43 43
	44 38
	44 35
	44 31
	45 28
	45 25
	46 22
	47 17
	47 14
	49 11
	50 8
	53 6
	56 5
	59 7
	61 10
	62 13
	64 18
	65 21
	65 24
	66 31
	66 34
	67 38
	68 41
	69 46
	69 50
	70 54
	70 59
	71 62
	71 65
	71 68
	72 68
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	29 77
	29 74
	28 70
	28 66
	28 63
	28 60
	28 57
	27 50
	27 47
	27 43
	27 40
	27 37
	28 34
	28 31
	28 28
	28 25
	28 22
	28 19
	29 12
	29 9
	30 6
	30 3
	30 0
	30 1
.PEN_UP
.PEN_DOWN
	28 77
	31 76
	34 75
	37 75
	41 73
	46 70
	51 68
	54 65
	58 62
	61 59
	64 55
	67 50
	68 47
	68 43
	68 39
	67 36
	66 31
	64 28
	63 25
	61 21
	58 17
	56 14
	53 11
	50 9
	47 7
	44 6
	40 6
	36 6
	32 6
	30 7
.PEN_UP
.PEN_DOWN
	25 85
	28 84
	32 84
	36 84
	41 84
	45 84
	50 84
	54 84
	57 84
	60 85
	60 84
.PEN_UP
.PEN_DOWN
	28 83
	28 80
	29 77
	29 74
	29 69
	29 65
	29 62
	29 59
	29 55
	29 52
	29 44
	29 41
	29 38
	29 34
	29 31
	29 26
	29 21
	29 16
	29 12
	28 8
	28 5
	28 2
	31 0
	35 1
	38 2
	41 2
	45 3
	50 3
	55 3
	59 3
	63 3
	66 3
	67 5
.PEN_UP
.PEN_DOWN
	30 43
	33 43
	39 43
	43 43
	47 42
	51 42
	55 41
	58 41
	61 44
.PEN_UP
.PEN_DOWN
	27 84
	31 84
	36 84
	41 84
	44 84
	47 83
	53 83
	56 82
	60 82
	63 82
	66 82
	64 82
.PEN_UP
.PEN_DOWN
	25 82
	25 78
	26 74
	26 70
	27 65
	27 60
	28 57
	28 49
	28 46
	28 42
	28 38
	28 34
	28 31
	28 28
	28 25
	28 21
	28 16
	27 9
	27 6
	27 3
	27 0
	28 1
.PEN_UP
.PEN_DOWN
	30 42
	34 42
	38 42
	42 41
	46 41
	50 41
	53 41
	56 41
	57 44
.PEN_UP
.PEN_DOWN
	59 86
	56 89
	53 90
	50 91
	46 91
	42 91
	38 90
	35 88
	31 86
	28 84
	25 80
	22 76
	20 72
	19 69
	17 64
	16 59
	15 56
	15 53
	15 50
	15 47
	15 44
	16 37
	17 32
	19 28
	20 25
	22 21
	23 18
	26 14
	29 12
	33 11
	37 11
	41 10
	45 10
	48 10
	51 11
	54 12
	57 15
	59 18
	60 20
.PEN_UP
.PEN_DOWN
	38 46
	42 48
	47 48
	52 48
	57 47
	60 47
	64 47
	67 46
	71 46
	74 46
	77 46
	77 47
.PEN_UP
.PEN_DOWN
	59 40
	59 35
	59 32
	59 29
	59 26
	59 21
	59 17
	59 13
	59 9
	59 6
	59 3
	59 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	24 76
	27 76
	31 75
	34 75
	37 75
	40 74
	43 74
	47 74
	51 73
	55 73
	58 72
	62 72
	65 72
	68 72
	71 71
	74 71
	75 71
.PEN_UP
.PEN_DOWN
	48 70
	49 67
	50 64
	51 61
	52 58
	53 55
	54 51
	54 47
	54 43
	54 40
	54 37
	53 34
	53 31
	52 28
	51 25
	51 22
	50 19
	50 16
	49 13
	47 10
	46 7
	43 4
	40 2
	37 1
	34 1
	31 0
	28 0
	25 2
	23 5
	21 8
	20 12
	20 15
	19 18
	19 21
	19 24
	18 25
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	36 74
	35 70
	34 66
	33 61
	32 58
	32 54
	31 51
	31 47
	30 44
	30 38
	29 33
	28 29
	28 26
	27 22
	26 18
	26 12
	26 9
	26 6
	25 3
	25 0
	29 2
	32 3
	35 3
	38 3
	42 3
	46 3
	49 2
	53 2
	56 2
	59 1
	62 1
	65 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	61 62
	60 65
	57 68
	54 69
	51 70
	48 70
	44 68
	41 67
	38 64
	35 59
	34 56
	33 53
	33 49
	34 46
	36 43
	38 40
	42 39
	45 37
	50 36
	54 34
	57 33
	60 31
	63 29
	66 27
	67 24
	69 20
	69 16
	69 13
	69 10
	68 7
	66 4
	63 1
	60 0
	57 0
	54 0
	49 1
	44 4
	41 6
	37 10
	34 13
	31 17
	30 20
	30 17
	30 14
	30 11
	30 7
	30 4
	32 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	29 64
	29 61
	29 57
	29 53
	29 46
	30 41
	30 38
	30 34
	30 31
	30 27
	31 23
	31 20
	31 17
	31 14
	31 11
	31 8
	32 5
	33 2
	36 0
	39 0
	42 0
	45 0
	49 0
	53 0
	56 0
	59 0
	63 1
	66 3
	69 5
	71 8
	71 11
	72 15
	72 19
	72 23
	71 27
	71 31
	71 35
	70 39
	70 44
	69 48
	69 52
	68 56
	68 59
	68 62
	67 60
.PEN_UP
.PEN_DOWN
	26 66
	27 63
	28 60
	29 57
	30 54
	31 50
	32 47
	33 44
	33 41
	35 36
	36 33
	36 30
	37 25
	39 20
	40 16
	41 12
	43 7
	44 3
	46 0
	48 3
	49 6
	50 9
	51 14
	52 17
	54 23
	55 26
	56 30
	57 33
	58 36
	59 39
	61 45
	61 48
	63 51
	63 54
	64 58
	66 61
	67 65
	68 68
	68 65
.PEN_UP
.PEN_DOWN
	23 69
	23 66
	23 63
	23 60
	23 57
	24 53
	24 50
	24 47
	24 40
	24 37
	25 32
	25 29
	26 26
	26 23
	27 18
	28 13
	28 7
	29 3
	29 0
	32 3
	33 7
	35 12
	36 15
	38 22
	39 26
	40 29
	41 32
	43 36
	44 39
	45 42
	46 39
	47 35
	47 29
	48 24
	49 21
	49 18
	50 15
	51 11
	52 7
	54 3
	57 3
	61 8
	62 11
	63 15
	64 18
	65 21
	67 26
	68 30
	68 34
	69 37
	71 43
	71 46
	71 49
	71 53
	71 57
	70 60
	70 63
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	22 77
	22 73
	24 69
	27 64
	29 59
	32 55
	34 51
	36 47
	38 44
	40 41
	41 40
.PEN_UP
.PEN_DOWN
	62 70
	59 67
	57 63
	53 59
	51 56
	48 53
	45 49
	43 46
	40 43
	41 40
	42 37
	42 34
	42 31
	42 27
	43 23
	43 19
	43 15
	43 12
	44 9
	44 6
	44 3
	44 0
	45 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
