


.DATE		07 ? 93
.STYLE		MIXED
.WRITER_ID	swlee
	157 55
	160 58
	161 61
	163 65
	164 68
	164 71
	164 75
.PEN_UP
.PEN_DOWN
	163 68
	166 67
	169 66
	173 66
	177 66
	182 66
	187 66
	190 66
	193 66
	195 69
	192 69
.PEN_UP
.PEN_DOWN
	171 67
	169 63
	169 58
	167 54
	166 51
	165 47
	164 44
	164 41
	163 38
	162 34
	162 31
	160 27
	160 23
	159 20
	159 17
	162 16
	165 15
	168 15
	172 15
	176 16
	180 16
	183 17
	186 17
	191 17
	194 18
	196 21
.PEN_UP
.PEN_DOWN
	168 42
	172 42
	177 41
	182 41
	187 41
	192 41
	195 41
	198 41
	201 41
	198 43
.PEN_UP
.PEN_DOWN
	86 59
	87 62
	86 65
	84 68
	81 68
	78 68
	75 68
	71 68
	67 65
	63 61
	61 58
	59 55
	56 50
	55 47
	53 42
	52 39
	51 36
	51 31
	51 24
	53 20
	54 17
	58 14
	61 13
	65 13
	72 15
	76 17
	79 20
	82 23
	84 27
	86 30
	87 32
.PEN_UP
.PEN_DOWN
	67 37
	70 37
	73 37
	78 37
	82 37
	85 37
	90 37
	93 37
	96 37
	99 38
	96 39
	95 39
.PEN_UP
.PEN_DOWN
	88 36
	87 32
	86 27
	85 24
	85 21
	84 16
	82 12
	82 9
	80 6
	79 3
	79 0
	80 4
	81 6
.PEN_UP
.PEN_DOWN
	135 66
	132 67
	129 68
	126 68
	122 68
	116 65
	112 62
	109 59
	106 55
	104 50
	103 46
	102 41
	102 38
	102 34
	102 31
	103 27
	106 23
	109 20
	113 16
	116 15
	119 15
	122 16
	126 18
	128 21
	131 23
	134 27
	137 32
	140 34
	141 37
	143 41
	144 44
	145 49
	145 55
	144 59
	141 62
	137 65
	134 66
	131 67
	127 66
	124 66
	123 63
.PEN_UP
.PEN_DOWN
	173 58
	173 61
	172 64
	169 65
	165 66
	162 65
	159 64
	157 61
	154 58
	151 54
	149 49
	147 46
	146 38
	146 33
	147 30
	148 25
	149 20
	152 17
	155 14
	159 13
	162 13
	165 14
	169 17
	172 19
	177 24
	181 29
	185 34
	186 37
	189 40
	191 44
	192 47
	192 51
	192 55
	191 58
	188 62
	185 64
	181 65
	177 65
	174 65
	171 65
	168 63
	168 60
.PEN_UP
.PEN_DOWN
	202 67
	202 62
	201 59
	201 56
	200 53
	200 49
	199 45
	199 41
	198 38
	197 34
	196 30
	195 26
	194 19
	192 16
	192 13
	191 9
	189 5
	189 2
	190 5
	192 8
	193 11
	195 14
.PEN_UP
.PEN_DOWN
	202 64
	202 67
	204 70
	207 71
	211 71
	215 71
	220 70
	225 69
	229 66
	232 64
	234 60
	237 56
	239 51
	239 44
	238 39
	237 35
	234 31
	231 27
	228 25
	222 20
	217 17
	214 16
	210 14
	206 13
	203 13
	200 13
	196 13
	193 15
	192 18
.PEN_UP
.PEN_DOWN
	84 84
	83 80
	82 77
	81 74
	80 70
	79 66
	79 62
	78 58
	77 55
	76 51
	76 47
	74 44
	73 36
	71 32
	71 29
	69 26
	68 22
	67 19
	66 14
	65 9
	64 6
	65 10
	67 13
.PEN_UP
.PEN_DOWN
	76 49
	79 49
	85 50
	90 50
	94 51
	97 51
	101 51
	104 51
	108 51
	110 51
.PEN_UP
.PEN_DOWN
	113 82
	112 78
	111 74
	109 69
	108 64
	107 59
	106 54
	105 50
	104 45
	102 40
	101 36
	100 26
	99 23
	99 19
	98 15
	98 12
	97 9
	96 5
	96 1
	96 0
.PEN_UP
.PEN_DOWN
	138 84
	136 78
	134 75
	132 71
	131 66
	129 62
	126 57
	124 53
	122 48
	118 38
	116 34
	114 29
	113 24
	111 21
	110 17
	108 12
	107 9
	110 12
.PEN_UP
.PEN_DOWN
	137 88
	138 84
	140 79
	140 75
	140 68
	140 63
	140 59
	140 54
	140 50
	140 46
	140 42
	140 39
	140 35
	140 31
	140 27
	141 21
	141 17
	142 13
	142 10
	142 11
.PEN_UP
.PEN_DOWN
	122 49
	126 49
	131 49
	134 49
	137 49
	140 49
	143 49
	147 49
	151 49
.PEN_UP
.PEN_DOWN
	189 79
	189 82
	186 85
	180 87
	177 87
	173 87
	169 86
	166 85
	162 83
	159 81
	155 77
	154 74
	154 71
	154 67
	155 64
	157 61
	160 58
	163 56
	167 53
	170 52
	174 49
	177 48
	182 43
	184 40
	185 37
	185 34
	184 31
	182 27
	179 25
	175 23
	170 23
	167 23
	162 23
	158 25
	155 26
	151 29
	146 34
	145 37
	144 40
	143 43
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	81 67
	85 67
	88 67
	91 67
	97 67
	103 67
	108 67
	111 67
	115 67
	117 65
.PEN_UP
.PEN_DOWN
	93 64
	91 57
	90 52
	89 49
	88 46
	87 42
	87 39
	86 35
	85 32
	84 28
	83 24
	83 21
	82 16
	81 11
	80 7
	79 4
	79 2
.PEN_UP
.PEN_DOWN
	64 5
	67 5
	71 5
	75 5
	78 5
	81 5
	84 5
	87 5
	90 5
	93 5
	97 4
	100 4
	104 3
	110 3
.PEN_UP
.PEN_DOWN
	149 58
	148 61
	145 63
	142 63
	139 63
	136 63
	133 64
	130 64
	127 63
	124 62
	121 61
	120 58
	118 54
	118 51
	118 48
	119 45
	121 41
	123 38
	126 36
	129 34
	133 31
	136 30
	139 29
	141 26
	143 23
	143 20
	143 17
	142 14
	141 11
	138 8
	135 5
	131 2
	127 0
	123 0
	120 0
	116 0
	113 2
	106 4
	106 7
	104 12
	104 15
	103 18
	103 22
	103 30
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	56 71
	59 70
	62 68
	66 68
	70 68
	74 68
	79 68
	83 68
	86 68
	89 68
	93 68
	90 68
.PEN_UP
.PEN_DOWN
	74 66
	73 63
	73 60
	73 56
	73 53
	73 49
	73 46
	73 43
	73 39
	73 36
	70 29
	70 26
	68 23
	66 20
	63 17
	59 16
	54 16
	53 13
	50 13
	47 14
	43 16
	41 20
	39 23
	39 26
	39 29
	40 32
	41 36
	41 37
.PEN_UP
.PEN_DOWN
	106 70
	104 73
	101 75
	97 75
	93 74
	90 71
	87 67
	85 63
	83 60
	82 56
	81 53
	79 47
	78 41
	78 38
	78 34
	78 29
	79 25
	81 21
	83 18
	87 15
	90 15
	93 15
	97 17
	101 18
	105 22
	109 25
	112 27
	115 31
	117 35
	118 38
	119 41
	119 44
	119 49
	118 55
	117 59
	114 62
	111 64
	108 64
	105 65
	102 66
	99 66
	98 65
.PEN_UP
.PEN_DOWN
	118 76
	119 72
	120 68
	121 64
	123 60
	123 57
	125 54
	127 48
	128 45
	130 41
	131 38
	131 41
	132 42
.PEN_UP
.PEN_DOWN
	167 74
	162 71
	159 69
	156 68
	153 66
	150 65
	146 62
	142 60
	139 58
	136 56
	134 53
	134 50
	134 47
	133 43
	133 39
	133 36
	132 31
	132 28
	131 23
	130 19
	130 16
	129 12
	128 8
	127 4
	126 0
	127 3
	129 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	82 64
	82 60
	81 53
	80 50
	80 47
	79 43
	79 40
	78 37
	78 34
	77 31
	76 28
	76 25
	74 20
	74 15
	72 11
	71 8
	71 5
	72 8
	73 11
	76 15
.PEN_UP
.PEN_DOWN
	111 60
	108 56
	105 53
	101 50
	97 45
	93 42
	90 39
	87 37
	84 35
	80 33
	81 30
	84 27
	86 23
	89 21
	92 18
	94 15
	99 11
	102 10
	106 9
	109 10
	112 11
	116 16
	118 19
	119 22
	121 26
.PEN_UP
.PEN_DOWN
	119 64
	122 64
	125 64
	129 64
	134 64
	138 64
	142 64
	145 64
	148 64
	146 64
.PEN_UP
.PEN_DOWN
	135 59
	135 56
	135 52
	134 47
	133 43
	132 39
	131 36
	130 33
	130 29
	129 26
	128 23
	128 20
	127 17
	126 14
	123 14
	120 14
	117 14
	120 15
	123 16
	126 16
	130 16
	134 16
	138 16
	141 16
	144 16
	144 19
	145 20
.PEN_UP
.PEN_DOWN
	157 63
	157 59
	157 56
	156 53
	156 50
	156 47
	156 43
	156 40
	155 37
	155 34
	155 31
	154 25
	153 20
	153 15
	152 11
	152 8
	152 5
	153 8
	154 13
	155 16
.PEN_UP
.PEN_DOWN
	156 64
	159 62
	159 59
	161 56
	163 52
	164 45
	165 41
	167 37
	169 33
	171 29
	172 25
	174 21
	175 18
	176 15
	178 12
	181 11
	184 13
	186 16
	186 19
	187 24
	189 28
	190 32
	190 35
	191 38
	192 41
	192 44
	192 47
	193 50
	193 56
	192 61
	190 65
	186 68
	184 71
	181 72
	178 74
	175 75
	174 75
.PEN_UP
.PEN_DOWN
	202 63
	203 59
	203 56
	203 51
	203 48
	202 45
	202 42
	202 39
	201 36
	201 33
	200 29
	199 23
	199 20
	198 17
	197 14
	197 11
	196 7
	196 3
	195 0
	197 3
	199 7
.PEN_UP
.PEN_DOWN
	205 64
	208 66
	211 66
	214 65
	217 65
	221 64
	224 63
	228 61
	231 59
	233 56
	235 52
	235 48
	235 44
	235 38
	234 34
	233 31
	231 28
	230 25
	228 22
	225 19
	221 16
	218 12
	214 10
	211 8
	208 7
	204 7
	201 9
	198 13
	197 16
.PEN_UP
.PEN_DOWN
	76 67
	75 64
	74 61
	74 58
	73 55
	71 50
	69 45
	68 42
	68 39
	67 35
	66 32
	64 29
	63 25
	62 22
	60 18
	59 15
	57 10
	56 6
	54 3
	53 0
	54 3
	56 8
	56 9
.PEN_UP
.PEN_DOWN
	99 62
	97 59
	95 56
	92 53
	89 49
	83 44
	80 41
	77 38
	74 35
	71 33
	68 31
	71 29
	74 26
	77 24
	80 21
	83 19
	87 16
	91 14
	94 13
	99 12
	104 11
	108 12
	111 13
	113 16
	114 19
	113 20
.PEN_UP
.PEN_DOWN
	117 67
	121 66
	124 66
	129 65
	132 65
	135 65
	138 65
	141 65
	139 65
.PEN_UP
.PEN_DOWN
	127 61
	127 58
	127 55
	126 52
	126 47
	125 43
	124 39
	124 36
	123 33
	123 29
	122 25
	121 22
	120 19
	120 16
	118 13
	115 12
	112 12
	108 13
	111 15
	114 15
	118 15
	122 15
	125 15
	128 16
	132 16
	133 19
	133 20
.PEN_UP
.PEN_DOWN
	149 67
	148 70
	147 66
	147 61
	146 54
	146 51
	145 48
	145 45
	144 42
	144 39
	143 34
	143 31
	143 28
	141 24
	141 19
	140 16
	140 13
	140 10
	139 7
	141 10
	141 11
.PEN_UP
.PEN_DOWN
	145 61
	148 58
	150 54
	152 51
	153 46
	154 41
	156 37
	158 32
	159 28
	160 25
	161 21
	161 18
	163 15
	165 12
	168 10
	171 13
	173 16
	176 20
	178 23
	180 28
	181 31
	183 36
	184 39
	186 43
	186 47
	186 53
	186 56
	186 59
	185 62
	183 65
	181 66
.PEN_UP
.PEN_DOWN
	224 57
	225 60
	225 63
	222 65
	219 67
	216 67
	213 67
	210 66
	207 64
	204 62
	201 59
	198 57
	196 53
	192 48
	191 44
	190 41
	189 38
	188 33
	187 28
	187 25
	187 21
	188 17
	190 14
	192 11
	195 9
	198 8
	201 8
	206 8
	210 9
	214 10
	217 13
	221 17
	224 22
	226 26
	227 32
	227 37
	227 41
	226 44
	223 46
	220 49
	216 50
	213 50
.PEN_UP
.PEN_DOWN
	207 49
	210 49
	213 49
	219 48
	222 48
	225 48
	228 47
	231 47
	234 47
	237 46
	240 46
	243 46
	246 47
	243 48
	241 47
.PEN_UP
.PEN_DOWN
	227 46
	227 43
	227 40
	227 37
	227 32
	226 27
	226 23
	225 17
	225 13
	224 10
	223 7
	222 3
	222 0
	222 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	101 74
	99 71
	98 66
	97 63
	95 58
	94 55
	92 51
	90 46
	89 42
	87 39
	85 36
	84 33
	82 27
	80 24
	79 21
	78 18
	77 14
	75 10
	74 6
	73 3
	73 6
	77 7
	80 7
	83 7
	86 8
	89 8
	92 7
	95 7
	98 7
	102 7
	105 7
	109 7
	112 7
	112 10
	112 11
.PEN_UP
.PEN_DOWN
	145 76
	143 73
	141 69
	140 66
	138 63
	137 60
	134 57
	133 54
	131 51
	130 47
	128 44
	126 41
	122 35
	121 32
	118 27
	116 24
	115 21
	113 17
	112 12
	111 9
	109 6
	112 8
	113 11
	116 12
	116 14
.PEN_UP
.PEN_DOWN
	147 74
	146 69
	146 64
	146 61
	146 58
	145 55
	145 52
	145 49
	144 45
	144 40
	144 37
	144 34
	144 31
	143 26
	142 23
	142 20
	141 17
	141 12
	140 6
	140 3
	139 0
	139 3
	140 6
	140 8
.PEN_UP
.PEN_DOWN
	118 44
	122 43
	127 42
	130 41
	136 40
	142 39
	146 37
	149 37
	152 35
	157 35
	161 35
	163 37
.PEN_UP
.PEN_DOWN
	187 68
	185 71
	182 72
	177 72
	174 71
	169 70
	166 68
	163 66
	160 63
	156 59
	155 56
	155 51
	155 47
	156 44
	158 41
	162 38
	166 34
	170 33
	173 31
	175 28
	175 23
	173 20
	169 17
	166 14
	162 12
	159 10
	156 10
	152 10
	149 13
	146 17
	145 21
	145 24
	145 27
	145 30
.PEN_UP
.PEN_DOWN
	191 75
	194 75
	198 74
	203 74
	208 74
	211 73
	215 72
	220 71
	224 70
	227 68
	229 70
.PEN_UP
.PEN_DOWN
	209 72
	208 69
	208 66
	207 63
	207 59
	206 54
	205 49
	204 44
	204 41
	203 38
	202 33
	201 30
	201 27
	200 24
	199 21
	199 18
	199 11
	198 8
	198 4
	197 1
	197 4
	200 8
	202 13
.PEN_UP
.PEN_DOWN
	68 88
	67 84
	66 80
	64 76
	62 72
	62 69
	60 63
	59 60
	58 56
	57 53
	56 50
	55 47
	54 44
	53 41
	52 38
	51 35
	50 32
	48 29
	51 29
	54 29
	58 29
	62 30
	66 30
	71 30
	76 30
	79 30
	83 30
	88 30
	87 33
	84 35
	84 36
.PEN_UP
.PEN_DOWN
	98 85
	101 85
	105 85
	110 85
	114 84
	118 84
	121 84
	124 84
	127 84
	130 84
	133 85
	130 87
.PEN_UP
.PEN_DOWN
	104 84
	103 80
	102 76
	100 73
	100 70
	98 66
	96 61
	95 57
	94 54
	93 48
	92 45
	91 42
	90 39
	90 36
	93 34
	98 33
	102 33
	105 33
	108 33
	112 33
	116 34
	119 34
	122 35
	124 38
	122 40
.PEN_UP
.PEN_DOWN
	97 61
	103 61
	106 62
	114 62
	118 62
	122 62
	125 62
	127 63
.PEN_UP
.PEN_DOWN
	140 83
	145 83
	150 83
	153 83
	156 83
	162 83
	169 83
	172 83
	176 82
	180 82
	180 85
	178 85
.PEN_UP
.PEN_DOWN
	159 81
	159 78
	158 75
	157 71
	156 66
	155 63
	154 58
	153 55
	153 52
	153 49
	152 46
	151 43
	151 40
	150 35
	150 32
	148 28
	147 20
	147 17
	147 14
	146 10
	145 6
	145 3
	145 0
	145 3
	145 6
	146 8
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	90 77
	90 74
	88 69
	86 66
	85 63
	83 60
	81 56
	77 49
	77 46
	75 43
	73 40
	72 37
	70 34
	69 29
	67 25
	66 21
	65 18
	66 22
	68 25
	70 28
.PEN_UP
.PEN_DOWN
	91 74
	91 70
	91 66
	91 60
	91 55
	91 51
	91 48
	91 45
	93 42
	96 41
	99 42
	102 44
	107 47
	113 52
	116 54
	120 57
	122 60
	125 64
	128 66
	131 70
	133 74
	134 77
	134 80
	133 83
	130 80
	128 77
	127 74
	125 68
	124 63
	123 60
	123 57
	122 54
	120 49
	120 46
	119 43
	118 40
	117 33
	117 30
	117 26
	117 23
	117 20
	117 17
	117 20
	118 23
	119 27
.PEN_UP
.PEN_DOWN
	154 78
	151 74
	149 69
	147 65
	145 61
	143 57
	142 53
	139 49
	138 45
	136 41
	133 38
	133 34
	131 31
	130 27
	128 21
	127 18
	126 15
	124 11
	124 8
	125 11
	127 14
	129 17
	130 18
.PEN_UP
.PEN_DOWN
	154 77
	154 74
	154 70
	155 65
	155 60
	155 57
	155 54
	155 51
	155 48
	155 43
	155 40
	155 35
	155 31
	155 27
	155 24
	155 21
	156 17
	156 14
	158 16
.PEN_UP
.PEN_DOWN
	140 49
	145 49
	149 49
	153 48
	157 47
	162 47
	164 47
.PEN_UP
.PEN_DOWN
	173 79
	175 76
	178 72
	181 68
	184 63
	186 59
	188 56
	190 52
	192 49
	193 46
	196 46
.PEN_UP
.PEN_DOWN
	217 77
	213 75
	210 73
	206 70
	203 69
	199 67
	195 63
	192 60
	189 57
	186 54
	183 52
	181 49
	182 46
	181 43
	181 39
	180 35
	178 29
	177 26
	176 21
	174 17
	173 13
	171 10
	170 6
	170 3
	169 0
	169 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	94 63
	92 58
	92 55
	91 52
	89 49
	88 45
	87 42
	84 37
	83 34
	81 28
	78 23
	76 18
	75 15
	75 12
	76 16
	77 19
.PEN_UP
.PEN_DOWN
	87 63
	88 60
	90 57
	91 54
	91 49
	93 45
	93 41
	95 37
	96 34
	97 30
	97 27
	99 24
	101 18
	103 14
	104 10
	105 7
	108 4
	110 1
	113 0
	115 3
	118 6
	119 9
	121 14
	122 18
	123 21
	124 26
	125 29
	125 33
	127 36
	127 40
	127 44
	127 47
	127 54
	127 59
	125 62
	123 66
	120 68
	117 70
	116 68
.PEN_UP
.PEN_DOWN
	155 52
	153 55
	149 54
	145 50
	142 46
	140 43
	138 38
	136 33
	136 30
	135 25
	135 22
	135 19
	135 15
	135 12
	138 9
	139 6
	144 3
	147 3
	150 3
	153 5
	157 7
	160 11
	164 17
	165 21
	166 24
	167 28
	167 31
	167 35
	168 38
	168 42
	167 46
	165 50
	161 53
	159 56
	154 57
	151 57
	148 57
	148 54
	148 52
.PEN_UP
.PEN_DOWN
	182 56
	181 53
	180 46
	180 43
	179 40
	179 36
	178 33
	178 30
	178 24
	178 19
	178 16
	178 12
	178 8
	178 5
	181 6
	183 9
	185 12
	186 15
	189 18
	190 21
	192 24
	194 27
	195 24
	195 20
	195 16
	196 12
	196 9
	197 6
	199 3
	202 1
	207 1
	210 1
	214 2
	218 4
	222 7
	226 11
	229 16
	234 21
	236 25
	238 28
	239 31
	241 34
	241 41
	241 46
	239 50
	237 54
	234 56
	230 60
	227 61
	221 66
	217 67
	214 69
	209 71
	206 72
	203 72
	199 73
	196 73
	196 71
.PEN_UP
.PEN_DOWN
	122 65
	119 66
	116 67
	113 66
	110 65
	107 63
	104 60
	101 56
	97 50
	96 47
	94 43
	94 40
	93 37
	93 34
	93 31
	93 28
	93 25
	94 20
	97 16
	99 12
	102 11
	105 10
	108 10
	113 10
	118 12
	120 15
	124 19
	127 21
	128 24
	130 27
	130 31
	133 34
	134 38
	135 41
	135 44
	135 48
	135 51
	135 54
	134 60
	133 64
	130 68
	127 71
	123 72
	120 73
	115 73
	112 71
	112 68
	112 65
	113 63
.PEN_UP
.PEN_DOWN
	151 71
	154 71
	157 71
	160 71
	166 71
	170 71
	173 71
	176 71
	179 71
	182 71
	185 71
	188 71
	193 71
	199 71
	202 71
	205 71
	202 71
	199 72
	196 71
	194 71
.PEN_UP
.PEN_DOWN
	163 71
	161 67
	160 62
	160 59
	159 56
	159 53
	158 49
	157 46
	155 39
	154 36
	153 33
	152 30
	151 25
	151 22
	150 19
	149 14
	148 10
	148 6
	147 3
	147 0
	148 3
	148 6
	150 8
.PEN_UP
.PEN_DOWN
	158 43
	162 43
	166 43
	170 43
	174 43
	178 43
	183 43
	185 46
	182 48
.PEN_UP
.PEN_DOWN
	180 47
	179 42
	178 38
	178 35
	178 32
	177 29
	177 26
	178 29
	179 31
.PEN_UP
.PEN_DOWN
	75 65
	72 65
	69 65
	66 64
	63 61
	60 58
	57 55
	54 52
	54 49
	52 46
	49 40
	48 36
	48 33
	47 30
	47 23
	47 20
	47 17
	48 12
	50 8
	52 5
	56 2
	60 0
	64 0
	67 1
	71 2
	74 6
	77 7
	81 11
	84 15
	87 20
	88 23
	90 28
	91 31
	91 35
	91 38
	91 41
	90 46
	88 50
	85 54
	81 56
	78 57
	73 58
	69 59
	65 59
	64 56
	67 54
.PEN_UP
.PEN_DOWN
	112 68
	109 61
	107 57
	106 54
	105 51
	105 48
	105 45
	103 42
	102 39
	102 36
	101 32
	100 27
	100 24
	100 19
	99 15
	99 12
	99 9
	99 6
	102 5
	106 5
	110 5
	114 5
	117 5
	121 5
	125 5
	128 5
	131 5
	132 8
	131 11
	131 12
.PEN_UP
.PEN_DOWN
	149 66
	148 63
	147 60
	145 52
	144 49
	144 45
	144 41
	142 38
	142 34
	141 30
	140 26
	140 23
	140 20
	139 17
	138 10
	138 6
	137 3
	137 0
	138 4
	139 7
	141 11
.PEN_UP
.PEN_DOWN
	147 68
	147 71
	150 73
	154 74
	158 74
	161 73
	165 72
	172 70
	176 67
	180 64
	182 60
	185 56
	186 53
	187 48
	187 44
	187 40
	187 37
	187 34
	186 30
	184 27
	182 23
	178 19
	174 17
	170 14
	167 13
	162 10
	156 8
	153 6
	150 5
	146 4
	143 4
	140 4
	136 5
	133 7
	132 10
	131 13
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	68 81
	68 77
	67 74
	67 71
	67 67
	66 64
	65 57
	65 54
	65 51
	64 46
	64 42
	64 38
	63 34
	63 31
	62 27
	62 23
	61 15
	61 10
	60 6
	60 3
	59 0
	59 5
.PEN_UP
.PEN_DOWN
	63 65
	66 67
	69 68
	73 69
	77 70
	81 71
	85 72
	88 72
	91 72
	94 71
	97 69
	100 67
	100 63
	100 60
	99 57
	97 54
	94 50
	91 46
	88 42
	84 39
	80 36
	76 34
	71 31
	68 32
	69 35
	70 38
	71 39
.PEN_UP
.PEN_DOWN
	109 83
	108 78
	108 74
	107 71
	107 66
	106 63
	106 60
	104 53
	103 47
	103 44
	103 40
	102 35
	101 30
	100 26
	99 22
	99 19
	99 16
	102 15
	105 15
	110 15
	114 15
	117 15
	121 16
	124 16
	127 17
	129 21
	127 25
.PEN_UP
.PEN_DOWN
	147 76
	146 73
	145 70
	143 67
	140 60
	140 56
	138 52
	137 48
	136 44
	135 41
	134 37
	133 33
	132 30
	131 27
	130 22
	129 18
	129 15
	128 12
	128 16
	130 19
	131 22
	131 23
.PEN_UP
.PEN_DOWN
	150 80
	151 77
	152 74
	152 68
	153 65
	153 62
	153 59
	154 52
	155 49
	155 46
	156 43
	156 39
	157 34
	158 31
	158 26
	159 21
	160 18
	160 15
	160 18
	160 21
	160 23
.PEN_UP
.PEN_DOWN
	138 42
	141 42
	145 43
	149 44
	155 45
	158 45
	161 45
	162 45
.PEN_UP
.PEN_DOWN
	202 73
	199 76
	195 76
	190 75
	186 71
	183 68
	181 63
	178 57
	178 54
	177 51
	176 48
	176 41
	176 37
	176 34
	176 31
	176 28
	177 24
	179 20
	182 17
	188 15
	191 15
	194 15
	197 17
	201 21
	205 25
.PEN_UP
.PEN_DOWN
	208 73
	211 73
	215 73
	220 73
	223 73
	226 74
	230 74
	235 74
	238 74
	242 75
	245 75
	246 76
.PEN_UP
.PEN_DOWN
	212 73
	211 69
	211 65
	211 62
	210 57
	210 54
	209 51
	209 48
	208 45
	208 41
	208 37
	207 32
	206 26
	206 22
	205 19
	205 16
	205 12
	208 11
	212 11
	216 12
	221 13
	225 13
	228 13
	235 14
	239 15
	242 15
	244 18
	243 21
	242 22
.PEN_UP
.PEN_DOWN
	209 41
	213 42
	216 42
	219 42
	222 43
	228 43
	231 44
